year,n_votes,mean_gap,pol70
2015,194,0.37390350213068924,0.31443298969072164
2016,88,0.5112635776255359,0.6022727272727273
2017,84,0.44910787336140645,0.5119047619047619
2018,30,0.4910122169752024,0.5666666666666667
2019,229,0.3601497133798924,0.27510917030567683
2020,345,0.5002621257443165,0.4927536231884058
2021,594,0.5157076172387046,0.5606060606060606
2022,398,0.5363124031087495,0.5653266331658291
